Epoch_time_s,milliseconds_elapsed,Ax,Ay,Az,Gx,Gy,Gz
1609459241,261,-0.2446289,-0.8745116,0.09472656,-8.160305,6.770992,2.129771
1609459241,521,-0.1665039,-1.168945,-0.04882812,-37.07634,19.64886,7.778626
1609459241,781,-0.199707,-0.8442384,-0.2128906,33.17557,40.07634,6.343512
1609459242,0,-0.1835938,-1.100586,-0.1357422,20.30534,23.42748,-32.44275
1609459242,265,0.2485352,-0.9204102,-0.01318359,7.40458,124.5343,-16.96183
1609459242,535,-0.1743164,-0.8901367,0.1669922,-19.77099,21.26718,-1.068702
1609459242,801,-0.05908203,-1.053711,-0.1157227,10.34351,-27.54962,35.66412
1609459243,0,-0.2402344,-0.9003906,-0.03271484,9.335877,-20.0,21.9771
1609459243,265,-0.09179688,-0.8964844,-0.01025391,-7.572519,21.19847,-73.49619
1609459243,536,-0.03076172,-0.8334961,0.1494141,6.473282,13.52672,-30.50382
1609459244,0,0.1352539,-1.133301,-0.2290039,7.053435,-81.9771,42.0458
1609459244,268,-0.1640625,-0.9780273,-0.08544922,17.76336,-47.34351,23.33588
1609459244,537,0.1220703,-1.02832,-0.0366211,-19.29771,-25.66412,-45.77099
1609459244,805,-0.00976562,-0.9550782,0.06054688,-8.007633,9.366412,-13.1145
1609459245,0,-0.02832031,-1.123047,-0.4272461,-5.80916,-144.6565,42.57252
1609459245,265,-0.1655273,-1.014648,-0.07861328,23.61069,-38.40458,30.25954
1609459245,535,0.5371094,-1.128418,0.1367188,-25.35878,39.41985,-42.09924
1609459245,804,-0.05419922,-0.8583983,0.15625,-5.900764,-9.19084,-17.90076
1609459246,0,-0.2426758,-0.9819336,-0.4990234,-0.7480916,-175.1374,6.427481
1609459246,304,0.07617188,-1.262695,-0.1582031,21.46565,-104.0,-20.9084
1609459246,555,0.1572266,-0.8706055,-0.01074219,5.290076,15.87786,-31.75572
1609459247,0,-0.1225586,-0.8647461,0.1206055,-12.27481,-81.54198,13.59542
1609459247,249,-0.00195312,-1.266113,-0.2915039,-8.389313,-185.7099,65.0229
1609459247,509,-0.3598633,-0.9477539,-0.05664062,12.70229,-59.23664,28.39695
1609459247,762,0.2080078,-1.263184,-0.1108398,-38.47328,-108.2672,-51.9542
1609459248,0,0.00146484,-0.8461915,0.1523438,10.25191,15.23664,-20.72519
1609459248,304,0.0756836,-1.182129,-0.3359375,16.56489,-152.3359,76.78626
1609459248,563,-0.2993164,-0.9511718,-0.04345703,16.75573,-42.93893,34.9771
1609459248,815,0.1899414,-1.188965,0.07470703,-39.9084,-15.71756,-49.83969
1609459249,0,-0.01318359,-0.9531249,0.07958984,-8.778625,13.48855,-17.9313
1609459249,256,-0.1713867,-1.135254,-0.3881836,-3.969465,-153.5191,32.38168
1609459249,512,-0.1757812,-1.009277,-0.08154297,30.17557,-43.86259,58.13741
1609459249,764,0.02734375,-1.059082,0.08105469,-48.40458,-11.28244,-38.58779
1609459250,0,-0.07666016,-0.9580078,0.07910156,-8.145039,51.57252,-46.51908
1609459250,257,0.0444336,-1.148926,-0.2246094,-15.53435,-125.4657,35.70992
1609459250,511,-0.1142578,-0.9697266,-0.09228517,18.0687,-41.0458,33.40458
1609459250,767,-0.140625,-0.7304687,0.2636719,-14.87786,12.80153,-49.8855
1609459251,0,0.2441406,-0.7651367,0.06738281,5.801527,-68.8855,-10.74809
1609459251,259,0.284668,-1.066895,-0.06591797,-28.54962,-71.87786,19.49618
1609459251,519,0.1352539,-0.9003906,-0.2006836,-0.1984733,66.77863,-3.312977
1609459251,775,0.1928711,-1.157227,-0.2348633,-24.77863,23.83206,-43.29771
1609459252,0,0.296875,-0.9125977,-0.1606445,-12.05344,13.38931,-11.58015
1609459252,307,0.4448242,-1.016602,-0.1625977,11.61069,25.1145,-13.56489
1609459252,565,0.4487305,-1.03125,0.03955078,28.63359,26.09924,19.07634
1609459253,0,0.2333984,-1.044434,0.1948242,21.17557,53.48855,30.68702
1609459253,258,-0.09667969,-0.949707,0.2358398,-11.9542,46.96947,16.23664
1609459253,519,-0.1914062,-0.9414063,0.2285156,-11.21374,-0.9847328,2.534351
1609459253,784,-0.08300781,-0.9511718,0.1958008,-5.48855,-15.0458,3.755725
1609459254,0,-0.1445313,-0.918457,0.2333984,5.061069,21.25954,2.259542
1609459254,257,-0.1035156,-0.9350585,0.2236328,0.4656488,-2.473282,3.946565
1609459254,516,-0.08105469,-0.96875,0.2387696,-5.847328,9.145039,3.099237
1609459254,777,-0.168457,-0.8447266,0.3686524,5.114504,-11.81679,-12.28244
1609459255,0,-0.1166992,-0.9248048,0.3286133,-0.7251908,-31.10687,-29.94657
1609459255,265,0.378418,-1.086426,0.1054688,-46.35115,-15.79389,4.206107
1609459255,533,0.1713867,-1.156738,0.01757812,-33.9542,19.24427,19.79389
1609459255,798,0.01123047,-1.033203,-0.02441406,-13.23664,-3.625954,5.221374
1609459256,0,0.07763672,-0.7475585,-0.1162109,11.71756,-46.17557,-8.511451
1609459256,261,0.02929688,-0.8417969,0.07763672,27.56489,6.465649,10.10687
1609459256,575,0.1650391,-0.9692384,0.08740233,0.4427481,66.32825,18.45802
1609459257,0,-0.1254883,-0.9711915,0.08837892,-18.60305,44.83206,-3.068702
1609459257,267,-0.1225586,-0.9462891,0.1044922,-12.50382,17.70992,5.977099
1609459257,533,0.08837892,-0.9916992,-0.05322266,9.114504,-42.08397,-9.419847
1609459257,801,0.09521483,-0.9887695,0.0209961,6.40458,4.282443,6.496184
1609459258,0,-0.1064453,-0.8964844,0.1362305,-0.2900764,87.25954,-25.38931
1609459258,267,-0.2080078,-0.9150391,0.144043,-21.69466,18.42748,-29.54962
1609459258,531,0.293457,-1.110352,-0.2929688,-30.07634,-67.61069,16.48855
1609459258,798,-0.09179688,-0.8876952,-0.1542969,25.29008,-16.67175,47.62595
1609459259,0,-0.1044922,-1.206055,-0.01953125,-0.8167939,3.541985,-38.28244
1609459259,269,-0.02441406,-0.8295898,0.05175781,-7.374046,77.16031,-36.64122
1609459259,540,-0.1464844,-1.27832,-0.07177734,-41.67176,-27.03817,7.992366
1609459259,809,0.04003906,-0.8852539,-0.125,12.08397,-54.83206,61.69466
1609459260,0,-0.1328125,-1.171875,-0.1137695,16.13741,2.503817,-33.45038
1609459260,270,-0.06542969,-0.8642578,0.05371094,-3.129771,86.60305,-46.94656
1609459260,539,-0.1064453,-1.080566,0.1240234,-34.61069,-4.419847,-9.114504
1609459261,0,-0.1259766,-0.8979492,-0.1005859,27.9542,-15.35114,49.68702
1609459261,251,-0.0834961,-1.362793,-0.00341797,-4.824428,-0.351145,-18.29771
1609459261,504,-0.1337891,-0.8110351,0.0444336,1.419847,56.48855,-44.00763
1609459261,756,-0.1201172,-0.9897461,0.09130858,-29.54198,2.870229,-10.17557
1609459262,0,0.3520508,-0.9838867,-0.1342773,9.78626,-51.53435,47.48855
