Ax,Ay,Az,Gx,Gy,Gz
-0.05371094,0.03417969,0.2539063,19.29008,38.48092,-75.38931
-0.06884766,-0.09667969,0.8007813,164.6947,152.5725,-94.78626
0.5424805,-0.2666016,1.960938,-179.9924,-217.6947,-1.229008
0.4135742,-0.1162109,1.151855,7.687023,62.51908,16.70992
-0.3769531,0.1469727,0.5722656,-6.671756,-50.72519,-38.60305
-1.310059,-0.08544922,2.579101,-57.46565,250.1298,54.48855
-0.8764648,0.1943359,0.472168,-136.916,-242.4275,-73.91603
0.1015625,0.05419922,-0.04882813,-4.206107,-248.1832,-60.36641
0.1567383,-0.03076172,0.004394531,-93.33588,250.1298,-60.55725
-0.1889648,-0.05029297,0.2895508,-4.877862,129.0763,43.62595
0.1074219,-0.1694336,1.016602,-1.374046,9.358779,-0.4274809
0.07763672,-0.1635742,0.9628906,-3.320611,-0.7251908,-1.038168
-0.6342773,-0.5732422,0.8608398,-149.4427,109.1756,73.9771
-0.7578125,-0.2246094,0.6757813,-108.7099,-221.3664,-19.49618
-0.1103516,-0.3852539,0.3164063,38.12977,-72.61069,16.8855
0.04882813,0.04833984,0.1108398,-68.41985,-80.83206,89.39695
0.01757812,-0.0625,0.3666992,79.09924,153.8702,-134.7176
-0.3081055,0.2036133,0.4335938,-128.8397,-186.6718,-92.70229
0.2119141,-0.1767578,0.9414063,-6.38168,-18.06107,-1.610687
0.005859375,-0.2836914,1.115234,-36.49618,250.1298,43.35115
-0.6801758,-0.940918,1.577637,-52.45802,-13.25191,7.931298
-0.2358398,-0.1699219,0.2763672,-40.25954,-71.06106,-47.07634
0.02539062,0.1298828,0.09814453,50.05344,-47.00763,109.4809
0.06054688,0,0.152832,-111.1756,54.34351,-196.1527
-0.1328125,0.07080078,0.1225586,27.26718,75.54962,-70.63358
0.04394531,-0.2197266,1.110352,19.48855,50.16031,24.58779
0.3164063,0.001464844,0.769043,1.038168,-29.61832,-14.67176
-0.8369141,-1.034668,1.955566,-38.12214,-215.6718,48.61069
-0.4824219,0.1196289,0.3168945,-190.1679,-151.7176,-35.48092
0.05810547,-0.3071289,0.06347656,-0.1068702,-75.38168,84.29008
0.03173828,0.03466797,0.2089844,-76.0687,83.32061,-126.2366
-0.199707,0.1508789,0.3330078,60.75573,152.9695,22.1145
0.3183594,-0.08300781,0.9458008,-17.56489,6.412214,6.900764
1.432617,0.1728516,0.6206055,4.251908,-64.62595,3.061069
-0.6430664,-0.4257813,1.395508,-244.5496,250.1298,95.0458
-0.7646484,-0.3110352,0.8432617,-99.83969,-112.4198,-49.25191
0.2255859,-0.3447266,0.3754883,53.52672,-103.1756,51.70229
0.03417969,0.03417969,0.1079102,-24.12214,-29.73282,52.35878
0.1098633,-0.04736328,0.3149414,15.0229,250.1298,-179.9389
-0.078125,0.1264648,0.2016602,-75.96947,-75.00764,5.900764
0.2524414,-0.234375,1.030273,-13.40458,-2.419847,0.3740458
0.2055664,-0.1669922,0.7763672,-5.854962,-41.09924,-4.572519
-0.2099609,-0.4072266,1.16748,-27.9084,144.2977,76.64886
-0.7290039,-0.05078125,1.274902,-72.771,-148.4504,25.19084
0.009277344,-0.1811523,0.2685547,-38.39695,-127.855,-14.48092
0.07763672,0.046875,0.09179688,-36.92366,-82.16794,120.7634
0.07421875,-0.01416016,0.1157227,-90.0458,115.3893,-94.63359
0.06152344,0.05273438,-0.04052734,80.58778,250.1298,222.7863
-0.1176758,-0.2104492,0.7592773,-118.3282,-74.60305,20.32061
