Ax,Ay,Az,Gx,Gy,Gz
0.3740234,-0.331543,0.894043,-7.274809,11.91603,-9.961832
0.40625,-0.2905273,0.9716797,-18.15267,-15.77863,4.717557
0.3198242,-0.1992188,0.9052734,-1.328244,13.78626,-13.35114
0.2719727,-0.1245117,0.9233398,10.52672,24.61832,-16.66412
0.1748047,-0.1147461,1.02002,-1.229008,13.32061,7.366412
0.06982422,-0.2773438,0.9082031,-3.053435,22.45038,-22.61069
0.1459961,-0.1132813,1.197754,-8.053435,-13.78626,7.160306
0.0546875,-0.1074219,1.048828,41.25954,-15.9542,-14.38168
0.2084961,0.215332,0.8417969,-36.70992,-13.81679,-64.89313
0.1430664,0.01074219,0.8916016,-11.51908,-1.129771,-26.9084
0.1713867,0.05517578,1.054199,-18.27481,11.44275,-29.57252
0.09375,-0.2431641,0.9990234,17.72519,23.1145,17.55725
-0.06640625,-0.2163086,0.9130859,35.0916,-18.16794,-35.09924
0.1171875,0.2128906,1.027832,32.1832,16.58779,22.93893
-0.05761719,-0.03076172,0.7607422,-5.938932,-18.32061,-42.93893
0.1567383,-0.3823242,1.11377,-41.38168,-42.29008,18.06107
0.1030273,-0.2773438,0.9555664,-4.557252,-6.725191,6.557252
-0.005859375,-0.1367188,0.6708984,10.60305,8.725191,-16.92366
0.02392578,0.02734375,1.367188,-5.175572,-23.1145,-17.32061
0.140625,0.1123047,0.9204102,-30.14504,-14.54962,21.06107
0.01416016,-0.02587891,0.9594727,-16.20611,19.34351,19.38168
-0.1376953,0.01416016,0.9848633,-17.82443,-16.09924,-0.8244275
-0.04736328,-0.1064453,0.7197266,14.03817,7.007634,-14.54198
0.04541016,0.1025391,1.327148,-17.21374,-46.03053,8.633588
-0.06201172,0.05175781,0.8203125,-12.79389,-16.31298,-12.51908
-0.05224609,-0.03125,0.9155273,-25.14504,30.0687,22.38931
-0.1791992,-0.1796875,1.055176,-0.6564885,-2.251908,8.40458
-0.1196289,-0.1137695,0.6591797,11.12214,-7.40458,-8.053435
-0.2080078,0.1020508,1.260254,4.89313,-32.36641,-12.22901
-0.01269531,0.02539062,0.7192383,-15.39695,-7.61832,9.885496
0.03417969,0.001464844,1.431641,-27.50382,27.8855,31.22901
-0.06933594,-0.1103516,0.8222656,-9.870229,-11.19084,21.34351
-0.004882812,-0.02880859,0.6850586,28.81679,27.66412,3.114504
-0.2109375,-0.05957031,1.181152,-6.572519,-33.46565,24.41222
-0.1352539,0.03027344,0.6787109,-16.12214,0.3740458,34.72519
-0.05957031,-0.246582,1.266113,-52.70229,30.47328,65.42748
-0.07226563,-0.1484375,0.8183594,-108.9008,27.35114,65.17558
-0.171875,-0.07177734,0.9726563,123.5649,-92.45802,29.51908
-0.5517578,0.078125,1.12793,-1.671756,17.12977,48.62595
-0.5205078,0.1391602,1.035156,-2.343511,71.58015,5.053435
-0.4194336,-0.03955078,0.9770508,-53.16794,6.59542,67.92367
-0.3413086,-0.05761719,0.8447266,-30.65649,1.236641,62.54198
-0.4833984,0.06738281,0.859375,2.793893,4.19084,20.33588
-0.2871094,0.1625977,0.953125,19.74046,7.480916,27.49618
-0.3647461,0.2539063,0.7631836,4.78626,14.45038,22.54198
-0.3129883,0.3188477,0.8706055,-18.22901,1.854962,20.38931
-0.4038086,0.269043,0.769043,-23.22901,-18.93893,27.14504
-0.5024414,0.2348633,1.146973,-27.78626,-5.358778,-2.89313
-0.2758789,0.04443359,0.6538086,26.08397,2.335878,-2
-0.5239258,0.4873046,1.127441,-23.22901,29.31298,-17.57252
-0.2856445,0.1640625,0.675293,-7.480916,0.3816794,6.709924
-0.2485352,0.09863281,0.7558594,19.01527,-0.3587786,19.29008
-0.7578125,0.2646484,1.033691,-49.37405,-17.83969,7.778626
-0.2333984,0.07714844,0.6928711,18.03053,7.412214,-9.587787
-0.421875,0.3515625,1.081543,-11.98473,-16.05343,-0.3358779
-0.2304688,0.1918945,0.7265625,-23.28244,-12.69466,-6.458015
-0.2553711,0.2924805,1.033203,3.534351,30.17557,6.938932
-0.3583984,0.1333008,0.8427734,-49.29771,-30.92366,28.78626
-0.2685547,0.1464844,0.7021484,24.65649,-2.816794,-13.75572
-0.1962891,0.3393555,1.304199,-16.70229,12.00763,-2.847328
-0.2446289,0.2451172,0.737793,-26.34351,-2.229008,2.206107
-0.1132813,0.1049805,0.7763672,-11.52672,29.52672,22.03817
-0.4316407,0.1699219,1.245605,-37.79389,4.725191,9.625955
-0.3374023,-0.07324219,0.7504883,22.58779,21.44275,1.503817
-0.2021484,0.2163086,1.366211,-40.40458,44.12977,47.06107
-0.2539063,0.1513672,0.7758789,-42.7939,-0.09160305,67.45038
-0.5068359,0.2285156,0.9541016,-34.94656,-15.58779,84.35114
-0.277832,-0.004882812,0.8183594,-57.41985,12.0687,82.28244
